Type,Product,Started Date,Completed Date,Description,Amount,Fee,Currency,State,Balance
Card Payment,Current,2025-01-31 22:04:18,2025-02-01 14:24:30,7-Eleven,-4.84,0.00,EUR,COMPLETED,219.85
Transfer,Current,2025-02-01 22:45:24,2025-02-01 22:45:24,To pocket EUR Tesla savings from EUR,-0.16,0.00,EUR,COMPLETED,219.69
Transfer,Current,2025-02-02 13:05:13,2025-02-02 13:05:13,To pocket EUR Tesla savings from EUR,-0.91,0.00,EUR,COMPLETED,218.78
Card Payment,Current,2025-02-01 22:45:24,2025-02-02 15:37:02,Rejsekort,-9.84,0.10,EUR,COMPLETED,208.84
Transfer,Current,2025-02-02 22:05:29,2025-02-02 22:05:29,To pocket EUR Tesla savings from EUR,-0.25,0.00,EUR,COMPLETED,208.59
Card Payment,Current,2025-02-02 13:05:13,2025-02-03 15:46:34,Copenhagen Souvenir,-10.09,0.10,EUR,COMPLETED,198.40
Card Payment,Current,2025-02-02 22:05:28,2025-02-03 15:49:26,Rejsekort,-5.75,0.06,EUR,COMPLETED,192.59
Transfer,Current,2025-02-05 14:32:13,2025-02-05 14:32:13,Pocket Withdrawal,6.67,0.00,EUR,COMPLETED,199.26
Transfer,Current,2025-02-05 14:32:39,2025-02-05 14:32:39,Revolut Bank UAB Zweigniederlassung Deutschland,-0.01,0.00,EUR,COMPLETED,199.25
Transfer,Current,2025-02-05 14:32:39,2025-02-05 14:32:39,Revolut Bank UAB Zweigniederlassung Deutschland,0.01,0.00,EUR,COMPLETED,199.26
Deposit,Current,2025-02-05 23:24:43,2025-02-05 23:24:44,Payment from TOMMASO BATACCHI,350.00,0.00,EUR,COMPLETED,549.26
Card Payment,Current,2025-02-07 01:03:59,2025-02-07 16:12:18,Holafly,-49.22,0.00,EUR,COMPLETED,500.04
Card Payment,Current,2025-02-07 03:50:50,2025-02-07 16:35:01,Ipapira Sucos,-2.69,0.00,EUR,COMPLETED,497.35
Card Payment,Current,2025-02-07 12:51:45,2025-02-08 14:58:24,Paineiras Corcovado,-42.29,0.00,EUR,COMPLETED,455.06
Card Payment,Current,2025-02-07 15:42:14,2025-02-08 14:58:27,Hotelaria Accorinvest,-13.87,0.00,EUR,COMPLETED,441.19
Card Payment,Current,2025-02-07 14:28:21,2025-02-08 14:58:43,Drogaria Venancio,-13.28,0.00,EUR,COMPLETED,427.91
Card Payment,Current,2025-02-07 16:08:29,2025-02-08 15:01:34,Uber,-9.53,0.00,EUR,COMPLETED,418.38
Card Payment,Current,2025-02-07 18:15:41,2025-02-08 15:02:26,Uber,-5.72,0.00,EUR,COMPLETED,412.66
Card Payment,Current,2025-02-08 03:29:24,2025-02-08 15:04:16,Uber,-2.34,0.02,EUR,COMPLETED,410.30
Card Payment,Current,2025-02-08 04:38:06,2025-02-08 15:04:35,Uber,-2.35,0.02,EUR,COMPLETED,407.93
Card Payment,Current,2025-02-07 15:42:39,2025-02-08 15:23:14,Raphael Cerqueira Cerneir,-2.69,0.00,EUR,COMPLETED,405.24
Card Payment,Current,2025-02-08 02:30:33,2025-02-08 15:26:38,Galeteria 14.08,-57.59,0.58,EUR,COMPLETED,347.07
